1,- В Азербайджане открылся Парк военных трофеев.
2,Открывал Президент Ильхам Алиев.
3,"Среди прочего - обломки ракет оперативно-тактического комплекса «Искандер-М» (?), который были применены с территории Армении."
4,Разница между модификациями «М» и «Э» заключается в дальности.
5,"Экспортный вариант «Э», который РФ поставила Армении, имеет меньшую дальность (280 км), чем оригинальный «М» - 480."
6,"Если применён вариант «М», значит, стреляли российские военные. "
7,"Мой комментарий Наиру Алиеву, азербайджанскому корреспонденту:"
8,"- Запуски ОТРК «Искандер» по территории Азербайджана, судя по имеющимся данным, все-таки подтверждаются. Но к чему это было делать в конце войны, да еще направлять ракеты в сторону Шуши, которую уже занимали азербайджанские войска?"
9,"- Похожая ситуация была во время пятидневной войны в Грузии в 2008 году. В конце войны россияне запустили по городу Гори ракеты без поражающей головной части. Это делается для того, чтобы проверить в боевых условиях точность пуска. Условно говоря, ракеты наводятся на определенный перекресток, а они падают в 300 метрах от цели. После этого идет расчет факторов, которые привели к отклонению от цели. То же самое было и в случае с портом Поти, удар был нанесен без всякой военной надобности."
10,"Думаю, что ровно такая же история и у вас. В видео на Youtube, которое подготовила команда «Калибр», говорится о разных модификациях – «Искандер Э», «Искандер М». Это важно, но по ракете невозможно понять из какой пусковой установки она была запущена. По дальности до Шуши доставал и «Искандер Э», так что для замера точности в боевых условиях могли запускать болванку ракеты и из этого комплекса, без взрывчатого вещества. Так, скорее всего, и произошло."
11,"- В Азербайджане не зафиксировали ударов, так как ракеты не взорвались. Но ведь звучали заявления из России о том, что системы контроля не увидели запусков?"
12,"- Это стандартная российская политика, они же все отрицают. К нам в плен на востоке Украины попали несколько десятков человек (российских военнослужащих - ред.), а в Москве продолжают отрицать, что они там присутствуют. Но ведь все это зафиксировано и нами, и западными разведками. То, что российские войска воюют на востоке нашей страны восьмой год подряд, является общим местом. Но это их политика, они будут отрицать до последнего."
13,"А в случае с Шушой, возможно, надеялись, что в горах обломки ракет просто не найдут, или найдут, но не разберутся. Но теперь у Азербайджана имеются доказательства пуска в учебно-боевых целях ракет средней дальности. И одна из версий о том, что запускали ракеты российские специалисты, а это прямое участие России в войне, что позволяет поставить под сомнение статус российских миротворцев."
14,"Кроме того, нет сомнений, что Россия задействовала (в ходе войны осенью прошлого года – ред.) станции радиоэлектронного подавления (РЭП) «Борисоглебск». А удар ОТРК, пусть даже ракетой-болванкой - это уже применение оружия повышенной мощности по земле Азербайджана. Это, как минимум, скандал. И об этом надо говорить."
15,"- Запуск, скорее всего, происходил с территории Армении. Этой точкой могла стать российская военная база в Гюмри?"
16,"- Я все-таки думаю, что если россияне запускали ракеты, то вывели их из Гюмри. Все оставляет следы, в XXI веке ничего скрыть невозможно. Есть разведка, есть технические средства объективного контроля. Расчеты траектории, агентурные сведения и данные могут показать откуда, когда и кто запускал ракеты."
17,————
18,"Комментарий я давал сразу после событий, в начале апреля, теперь руководство Азербайджана требует от Москвы объяснений:"
19,- как такое оружие было применено с территории Армении и кто его применял?..
20,Ранее Кремль официально отрицал сам факт пусков таких ракет по территории Азербайджана:
21,"
       "
22,"
- Давным давно, в 281 году до н. э. в античном мире, был себе такой полководец - Пирр."
23,"Полководец был он не абы какой, а экстра-класса. "
24,"Греческое военное искусство, всесторонне развитое в ходе походов Македонского (троюродный брат Пирра) тоже находилось на пике расцвета."
25,"Греки умели в то время вести сложные оперативные, комбинированные действия, организуя взаимодействия различных родов войск. "
